k%,epsilon,median_num_evaluations,median_num_sga_evaluations,median_num_ls_evaluations
0.0,0.0,5001.5,5001.5,0.0
0.0,0.001,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0
0.1,0.0,1586.0,1000.0,586.0
0.1,0.001,1886.0,1000.0,886.0
0.1,0.01,1898.5,1000.0,898.5
0.1,0.1,1936.0,1000.0,936.0
0.1,0.5,12849.5,3500.0,9349.5
0.2,0.0,1474.0,1000.0,474.0
0.2,0.001,1795.5,1000.0,795.5
0.2,0.01,1535.0,1000.0,535.0
0.2,0.1,1624.0,1000.0,624.0
0.2,0.5,19011.5,3250.0,15761.5
0.3,0.0,1374.0,1000.0,374.0
0.3,0.001,1328.5,1000.0,328.5
0.3,0.01,1829.0,1000.0,829.0
0.3,0.1,1504.5,1000.0,504.5
0.3,0.5,20475.5,2736.5,17739.0
0.4,0.0,1649.0,1000.0,649.0
0.4,0.001,1606.0,1000.0,606.0
0.4,0.01,1524.0,1000.0,524.0
0.4,0.1,2292.0,1000.0,1292.0
0.4,0.5,21464.0,2250.0,19214.0
0.5,0.0,1848.5,1000.0,848.5
0.5,0.001,2256.0,1000.0,1256.0
0.5,0.01,1654.0,1000.0,654.0
0.5,0.1,3966.5,1000.0,2966.5
0.5,0.5,29125.5,2500.0,26625.5
